id1,id2,numax1,numax2,sep_arcsec,teff1,teff2,rad1,rad2,dist1,dist2
167896618,167896629,18.887716457998117,18.67007085959009,41.838610118536884,4565.2,5150.0,13.652,5.484,1164.4,1462.06
167896629,167896618,18.67007085959009,18.887716457998117,41.83861011853463,5150.0,4565.2,5.484,13.652,1462.06,1164.4
55782591,55782581,34.08043124089945,34.52425937844812,35.8588463871423,4838.0,5066.0,11.356,2.782,1350.11,653.215
55782581,55782591,34.52425937844812,34.08043124089945,35.85884638714796,5066.0,4838.0,2.782,11.356,653.215,1350.11
177076957,177076962,27.49841108741101,26.9222527987732,16.028946702588737,5321.0,4711.0,2.787,12.273,1216.33,2113.35
177076962,177076957,26.9222527987732,27.49841108741101,16.028946702587405,4711.0,5321.0,12.273,2.787,2113.35,1216.33
30630933,30630925,28.232367176569166,28.209766347753103,19.17727405168697,4313.0,4762.0,60.8,11.459,14611.1,678.752
30630925,30630933,28.209766347753103,28.232367176569166,19.177274051682797,4762.0,4313.0,11.459,60.8,678.752,14611.1
141410478,141410514,40.148747377303394,38.10746302745557,126.33443911022955,4962.0,4801.4,10.927,11.0,279.698,895.136
167696033,167696038,45.97658976752077,46.32858914931633,21.009904994207048,4923.0,5407.0,7.948,3.671,1273.23,1604.68
141410514,141410478,38.10746302745557,40.148747377303394,126.3344391102376,4801.4,4962.0,11.0,10.927,895.136,279.698
167696038,167696033,46.32858914931633,45.97658976752077,21.009904994206366,5407.0,4923.0,3.671,7.948,1604.68,1273.23
407636557,407636552,78.65496660143997,81.06489815182117,27.372696770252343,4933.0,5111.0,3.393,7.365,870.419,202.156
407636552,407636557,81.06489815182117,78.65496660143997,27.37269677025254,5111.0,4933.0,7.365,3.393,202.156,870.419
350860879,350860874,25.450880968468184,23.77257096159051,18.928086106894842,4520.0,4717.0,13.191,12.102,1816.63,4267.46
350860874,350860879,23.77257096159051,25.450880968468184,18.92808610688529,4717.0,4520.0,12.102,13.191,4267.46,1816.63
141768083,141768084,31.10276736091452,30.964819474261304,14.24429147581042,4526.0,5059.0,11.13,10.258,1163.11,2974.99
141768084,141768083,30.964819474261304,31.10276736091452,14.24429147581047,5059.0,4526.0,10.258,11.13,2974.99,1163.11
55559957,55559955,8.557227243145146,8.47625609401899,16.458162658767044,4750.0,4515.0,3.701,21.795,1111.07,923.472
55559955,55559957,8.47625609401899,8.557227243145146,16.458162658770892,4515.0,4750.0,21.795,3.701,923.472,1111.07
141336449,141336436,30.698037679952296,30.270748885180534,38.84991313268237,4848.0,4892.0,12.857,4.261,802.347,1396.31
30265567,30265559,57.89812719230674,57.67722360033003,39.67182246182266,4534.8,4097.0,9.456,66.095,506.495,12902.8
141336436,141336449,30.270748885180534,30.698037679952296,38.849913132681834,4892.0,4848.0,4.261,12.857,1396.31,802.347
30265559,30265567,57.67722360033003,57.89812719230674,39.67182246182464,4097.0,4534.8,66.095,9.456,12902.8,506.495
348993789,348994632,28.697984125258323,25.948764063293755,127.84451623865758,4796.0,4990.0,10.651,10.362,1274.28,883.081
348994632,348993789,25.948764063293755,28.697984125258323,127.8445162386617,4990.0,4796.0,10.362,10.651,883.081,1274.28
140941995,675857465,28.693709217362155,28.70143492228344,3.9491790993725515,4969.0,4863.0,10.177,,394.112,394.798
140941995,140941994,28.693709217362155,28.747214866469857,3.9491790993725515,4969.0,4863.0,10.177,12.117,394.112,394.798
370226100,370226120,35.31892528511811,35.51199890739825,94.370917184932,4803.0,4509.9,10.909,12.299,1190.92,1291.81
370226120,370226100,35.51199890739825,35.31892528511811,94.37091718493508,4509.9,4803.0,12.299,10.909,1291.81,1190.92
141805873,141805865,19.403775382425845,19.463282223248807,28.113228207335872,4732.0,4307.0,10.318,14.458,1422.09,305.629
724647596,141607868,9.682522077458326,9.78979627746736,12.77076412972619,5004.0,4401.0,3.917,24.323,1179.47,434.892
141805865,141805873,19.463282223248807,19.403775382425845,28.113228207340192,4307.0,4732.0,14.458,10.318,305.629,1422.09
141607868,724647596,9.78979627746736,9.682522077458326,12.770764129723245,4401.0,5004.0,24.323,3.917,434.892,1179.47
260295706,260295700,10.382347194878,10.16171299826904,44.407156483105545,3992.0,4248.0,57.29,19.062,10160.5,1821.96
260295700,260295706,10.16171299826904,10.382347194878,44.40715648310336,4248.0,3992.0,19.062,57.29,1821.96,10160.5
167574206,364325879,35.351519999440306,35.297621091176964,106.63029144972413,4750.1,4681.0,10.792,10.201,642.456,1087.24
364325879,167574206,35.297621091176964,35.351519999440306,106.63029144972408,4681.0,4750.1,10.201,10.792,1087.24,642.456
167657467,167657464,50.615798642319405,50.32815168354681,13.731735246083435,4847.0,4748.1,8.85,8.375,1917.58,898.899
167657464,167657467,50.32815168354681,50.615798642319405,13.731735246081675,4748.1,4847.0,8.375,8.85,898.899,1917.58
294779631,294779636,15.753754901182312,15.928413421705663,32.55196377088752,5166.0,4625.0,5.985,14.661,2852.14,1256.08
294779636,294779631,15.928413421705663,15.753754901182312,32.55196377088028,4625.0,5166.0,14.661,5.985,1256.08,2852.14
260043601,260043604,32.05558684245943,31.873547915886448,27.429121416105296,4950.0,4868.0,9.888,9.972,3502.17,1172.84
260043604,260043601,31.873547915886448,32.05558684245943,27.429121416107115,4868.0,4950.0,9.972,9.888,1172.84,3502.17
348960465,348960463,12.246945874796891,11.876660722649016,47.81482285675962,4504.0,4318.2,20.068,20.757,4675.24,1450.14
348960463,348960465,11.876660722649016,12.246945874796891,47.814822856758994,4318.2,4504.0,20.757,20.068,1450.14,4675.24
300157797,300157793,112.40629792133451,112.40438819112047,19.028717562467467,4908.0,4864.0,6.508,9.452,299.179,2607.18
300157793,300157797,112.40438819112047,112.40629792133451,19.02871756246039,4864.0,4908.0,9.452,6.508,2607.18,299.179
142083428,142083435,36.42261379554965,36.87974275005706,36.33470179876764,5048.0,4788.3,3.42,10.553,1173.32,835.528
142083435,142083428,36.87974275005706,36.42261379554965,36.334701798755056,4788.3,5048.0,10.553,3.42,835.528,1173.32
230135878,230135877,12.591526046336426,12.568154939440722,38.106121388372316,4426.0,5154.0,18.627,3.244,2502.77,403.198
141269766,407635396,4.600736400534916,4.759228290828262,55.81755465335812,4019.0,4612.0,34.073,7.613,1176.55,1194.2
141429347,141429349,36.71727434476344,36.5678242276025,10.350985293583925,4439.7,5131.0,12.842,11.334,680.48,4263.32
141429349,141429347,36.5678242276025,36.71727434476344,10.350985293582093,5131.0,4439.7,11.334,12.842,4263.32,680.48
407635396,141269766,4.759228290828262,4.600736400534916,55.81755465336048,4612.0,4019.0,7.613,34.073,1194.2,1176.55
300015623,300015628,86.5768524802551,86.42580245740835,35.62234361639204,4961.0,4674.3,8.673,6.865,3576.8,603.203
300015628,300015623,86.42580245740835,86.5768524802551,35.62234361639065,4674.3,4961.0,6.865,8.673,603.203,3576.8
177307119,177307116,80.38050767383432,80.36075866552105,26.611851393860256,5070.9,4613.0,8.005,10.291,629.306,2863.5
177307116,177307119,80.36075866552105,80.38050767383432,26.611851393859485,4613.0,5070.9,10.291,8.005,2863.5,629.306
30194556,30194561,8.145461601813452,8.163905993599478,18.34399009317383,5435.0,4290.0,2.396,24.268,749.231,749.014
30194561,30194556,8.163905993599478,8.145461601813452,18.343990093178377,4290.0,5435.0,24.268,2.396,749.014,749.231
300244515,300244516,41.93213685180934,41.90474181643789,20.116131398388045,5062.0,4597.6,5.578,10.377,1620.59,521.211
300244516,300244515,41.90474181643789,41.93213685180934,20.11613139838825,4597.6,5062.0,10.377,5.578,521.211,1620.59
309658667,309658666,43.07790625713436,44.20266862212832,67.4266906417027,4816.4,4692.1,12.088,14.358,757.064,1482.81
309658666,309658667,44.20266862212832,43.07790625713436,67.42669064170367,4692.1,4816.4,14.358,12.088,1482.81,757.064
300244983,300244974,24.78247137880143,25.082289681156595,45.87700208878796,5072.0,4491.6,3.882,13.36,1374.97,878.976
300244974,300244983,25.082289681156595,24.78247137880143,45.87700208877908,4491.6,5072.0,13.36,3.882,878.976,1374.97
260266621,260266624,10.582954116121012,10.616164237805837,28.58663477220233,4861.0,4536.0,5.904,23.203,855.796,902.86
260266624,260266621,10.616164237805837,10.582954116121012,28.58663477220828,4536.0,4861.0,23.203,5.904,902.86,855.796
260076680,260076681,26.744460089774478,28.396027696469123,49.22062792338118,4850.0,4906.9,10.684,10.96,318.376,1049.5
260076681,260076680,28.396027696469123,26.744460089774478,49.2206279233819,4906.9,4850.0,10.96,10.684,1049.5,318.376
300243352,300243345,37.65272150915464,37.59205206185805,34.06138434063145,4743.0,4814.9,10.205,11.424,1885.86,538.716
300243345,300243352,37.59205206185805,37.65272150915464,34.061384340634994,4814.9,4743.0,11.424,10.205,538.716,1885.86
300243137,300243143,19.870746581098324,19.65576696972792,22.023600728671713,4745.0,4497.0,12.258,14.059,2241.68,1555.04
300243143,300243137,19.65576696972792,19.870746581098324,22.023600728673085,4497.0,4745.0,14.059,12.258,1555.04,2241.68
349157720,349157712,19.42842423504694,19.204810853679835,118.75392067334916,4415.6,4531.9,13.73,15.353,1768.93,1243.66
141978989,142015292,31.26090293475396,32.53008997305607,66.71054498568455,4928.0,4604.0,10.869,11.613,841.258,357.513
